subject;date;session;block;trials_count;session_type;seq_type;set_num;seq_num;pos_1;pos_2;pos_2_cons;pos_2_inc;RSI;distance;trial_stage
friede;13-12;1;5;71;srt;gram;5;2;loc_3;loc_6;;;1.0;5832.912289063238;RSI_1
friede;13-12;1;5;71;srt;gram;5;2;loc_3;loc_6;;;1.0;2078.908243875371;RT_1
friede;13-12;1;5;71;srt;gram;5;2;loc_3;loc_6;;;1.0;3768.8313400190464;RSI_2
friede;13-12;1;5;71;srt;gram;5;2;loc_3;loc_6;;;1.0;1530.3974048097593;RT_2
friede;22-12;3;5;87;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;79.01491701796691;RSI_1
friede;22-12;3;5;87;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;1047.7484946859759;RT_1
friede;22-12;3;5;87;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;256.1813890809437;RSI_2
friede;22-12;3;5;87;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;5106.226147071359;RT_2
friede;25-01;2;9;48;srt;gram;5;1;loc_1;loc_5;;;1.0;3330.265465389159;RSI_1
friede;25-01;2;9;48;srt;gram;5;1;loc_1;loc_5;;;1.0;2787.8764051942153;RT_1
friede;25-01;2;9;48;srt;gram;5;1;loc_1;loc_5;;;1.0;707.1370985675856;RSI_2
friede;25-01;2;9;48;srt;gram;5;1;loc_1;loc_5;;;1.0;21758.56040183373;RT_2
friede;02-12;3;1;11;pdp;gram;3;2;loc_6;loc_3;;;0.1;24.43424006477165;RSI_1
friede;02-12;3;1;11;pdp;gram;3;2;loc_6;loc_3;;;0.1;4775.992412620405;RT_1
friede;02-12;3;1;11;pdp;gram;3;2;loc_6;loc_3;;;0.1;622.8973713044455;RSI_2
friede;02-12;3;1;11;pdp;gram;3;2;loc_6;loc_3;;;0.1;10448.862465410168;RT_2
friede;10-01;1;5;75;srt;gram;3;3;loc_2;loc_5;;;0.1;60.05581191527453;RSI_1
friede;10-01;1;5;75;srt;gram;3;3;loc_2;loc_5;;;0.1;6160.349149321344;RT_1
friede;10-01;1;5;75;srt;gram;3;3;loc_2;loc_5;;;0.1;1110.1066843694884;RSI_2
friede;10-01;1;5;75;srt;gram;3;3;loc_2;loc_5;;;0.1;1660.6387867176907;RT_2
friede;21-01;3;1;1;pdp;gram;4;2;loc_5;loc_6;;;1.0;2740.7300325942206;RSI_1
friede;21-01;3;1;1;pdp;gram;4;2;loc_5;loc_6;;;1.0;776.8533827016698;RT_1
friede;21-01;3;1;1;pdp;gram;4;2;loc_5;loc_6;;;1.0;7390.213340711574;RSI_2
friede;21-01;3;1;1;pdp;gram;4;2;loc_5;loc_6;;;1.0;383.5167882373853;RT_2
friede;29-11;3;5;83;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;49.81915518025254;RSI_1
friede;29-11;3;5;83;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;4210.68812279094;RT_1
friede;29-11;3;5;83;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;49.10453919704467;RSI_2
friede;29-11;3;5;83;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;5060.223770420897;RT_2
friede;13-01;3;5;26;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;3.305128110040871;RSI_1
friede;13-01;3;5;26;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;3002.7940601196487;RT_1
friede;13-01;3;5;26;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;263.49776053207967;RSI_2
friede;13-01;3;5;26;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;4614.174042983203;RT_2
friede;27-01;3;5;82;pdp;exclu;5;2;loc_3;;loc_6;loc_5;1.0;7138.750727675382;RSI_1
friede;27-01;3;5;82;pdp;exclu;5;2;loc_3;;loc_6;loc_5;1.0;341.36384726878447;RT_1
friede;27-01;3;5;82;pdp;exclu;5;2;loc_3;;loc_6;loc_5;1.0;5231.587498055272;RSI_2
friede;27-01;3;5;82;pdp;exclu;5;2;loc_3;;loc_6;loc_5;1.0;1781.4645463983484;RT_2
friede;13-01;3;5;71;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;4.114590101487894;RSI_1
friede;13-01;3;5;71;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;1767.9700668315118;RT_1
friede;13-01;3;5;71;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;95.3764223691318;RSI_2
friede;13-01;3;5;71;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;3443.788246986588;RT_2
friede;21-01;3;1;46;pdp;gram;4;1;loc_4;loc_3;;;1.0;7190.587504273923;RSI_1
friede;21-01;3;1;46;pdp;gram;4;1;loc_4;loc_3;;;1.0;11056.494345133024;RT_1
friede;21-01;3;1;46;pdp;gram;4;1;loc_4;loc_3;;;1.0;9618.956981619916;RSI_2
friede;21-01;3;1;46;pdp;gram;4;1;loc_4;loc_3;;;1.0;1570.3474207787406;RT_2
friede;19-01;2;10;69;srt;gram;4;3;loc_1;loc_2;;;1.0;1540.4389627572643;RSI_1
friede;19-01;2;10;69;srt;gram;4;3;loc_1;loc_2;;;1.0;7984.9928220952015;RT_1
friede;19-01;2;10;69;srt;gram;4;3;loc_1;loc_2;;;1.0;8660.448492480382;RSI_2
friede;19-01;2;10;69;srt;gram;4;3;loc_1;loc_2;;;1.0;2491.293742384874;RT_2
friede;29-11;3;1;56;pdp;gram;3;1;loc_4;loc_1;;;0.1;71.8424280771039;RSI_1
friede;29-11;3;1;56;pdp;gram;3;1;loc_4;loc_1;;;0.1;3154.5926045693564;RT_1
friede;29-11;3;1;56;pdp;gram;3;1;loc_4;loc_1;;;0.1;35.358657968922465;RSI_2
friede;29-11;3;1;56;pdp;gram;3;1;loc_4;loc_1;;;0.1;4919.646942879634;RT_2
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;5137.043570228098;RSI_1
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;7485.871221519491;RT_1
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;8406.966408806715;RSI_2
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;2191.785506988698;RT_2
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;5725.455051777847;RSI_1
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;6420.0684581633195;RT_1
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;9695.942269443727;RSI_2
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;3137.1736222843792;RT_2
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;4059.2764383141225;RSI_1
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;3363.444017303837;RT_1
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;5975.211269153988;RSI_2
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;2075.6880682012124;RT_2
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;3344.148214849072;RSI_1
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;2457.30045227985;RT_1
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;5272.634531757918;RSI_2
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;8231.792121011667;RT_2
